id,external_id,asset_type,lon,lat,status,genus,genus_raw,species,street_key,street_name,district,quarter,height_m,avenue_id,avenue_name,quality_flags,data_source,first_seen_at,last_seen_at
00007be8-6026-42eb-a8fe-08ef25338e23,00007be8-6026-42eb-a8fe-08ef25338e23,tree,7.5951060,51.9734187,active,Quercus,Quercus,,05694,Rudolf-Harbig-Weg,Münster-West,Sentrup,10.0,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
0001f9d4-8ed4-4fc5-a575-2193d7824fec,0001f9d4-8ed4-4fc5-a575-2193d7824fec,tree,7.5855596,51.9489528,active,Quercus,Quercus,,06155,Sentruper Straße,Münster-West,Sentrup,20.0,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
0002caf1-373d-4c9e-8263-8e2b4953f50b,0002caf1-373d-4c9e-8263-8e2b4953f50b,tree,7.6438609,51.9616169,active,Fagus,Fagus,,05695,Rudolfstraße,Mitte,Mauritz-West,25.0,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
00034b28-ea88-41df-89bf-5514cc39bad5,00034b28-ea88-41df-89bf-5514cc39bad5,tree,7.6074466,51.9910979,active,Carpinus,Carpinus,,00220,Althausweg,Münster-Nord,Kinderhaus-Ost,1.8,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
000680c6-49fc-4e62-a0f0-4462ca0bd90a,000680c6-49fc-4e62-a0f0-4462ca0bd90a,tree,7.6547431,51.9682876,active,Aesculus,Aesculus,,05160,Ostmarkstraße,Mitte,Mauritz-Mitte,22.8,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
00091db3-c508-4ec7-925a-ed0d01dd81a5,00091db3-c508-4ec7-925a-ed0d01dd81a5,tree,7.6041163,51.8833887,active,Tilia,Tilia,,00795,Auf der Woort,Münster-Hiltrup,Amelsbüren,10.1,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
000994c6-22bf-466b-93b0-cca3fd352fcd,000994c6-22bf-466b-93b0-cca3fd352fcd,tree,7.5119889,51.9362476,active,Tilia,Tilia,,01040,Bösenseller Straße,Münster-West,Roxel,17.6,AL-MS-0009,Sommer-Lindenallee an der Bösenseller Straße (K 30),"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
0009a582-93e4-4cb9-9571-1dadbe0a7cc2,0009a582-93e4-4cb9-9571-1dadbe0a7cc2,tree,7.6335249,51.9716440,active,Prunus,Prunus,,05587,Rjasanstraße,Mitte,Schlachthof,8.8,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
000c2c3f-7481-4f33-b5ff-21685e484bd2,000c2c3f-7481-4f33-b5ff-21685e484bd2,tree,7.6028689,52.0440139,active,Betula,Betula,,04985,Nienberger Straße,Münster-Nord,Sprakel,16.3,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
000ca037-d8fc-4712-a491-2ad2fe90d331,000ca037-d8fc-4712-a491-2ad2fe90d331,tree,7.5875957,51.9645092,active,Sorbus,Sorbus,,04780,Möllmannsweg,Münster-West,Gievenbeck,9.4,,,"",de-muenster-trees,2026-09-26 07:02:42.412215+00,2026-09-26 09:46:43.329025+00
